zip_code,2011_MHI,2012_MHI,2013_MHI,2014_MHI,2015_MHI,2016_MHI,2017_MHI,2018_MHI,2019_MHI
00601,13318,13495,12041,10833,10816,11507,11757,13092,14361
00602,14947,15106,15663,16353,16079,15511,16190,16358,16807
00603,14437,15079,15485,16323,16804,16681,16645,16603,16049
00606,11155,12098,15019,14138,12512,11648,13387,12832,12119
00610,16367,16923,16707,17265,17475,17751,18741,19309,19898
00612,17899,18111,17848,17752,17229,17208,17744,18171,18741
00616,15491,16279,15342,15115,13705,14490,14918,16018,17007
00617,16306,15114,14982,15461,15361,15645,17157,16735,16984
00622,11871,12059,14281,14993,15689,16784,16727,15206,14615
00623,16163,16447,17389,17044,16593,17134,16401,16280,17130
00624,14475,15500,14768,15467,15573,16764,16832,17578,16701
00627,16899,17762,19527,19490,17532,17206,17579,16831,17000
00631,10595,11651,11596,9613,7854,7948,9632,9681,10244
00637,15401,15882,16430,14977,14767,14877,15736,16887,17405
00638,14061,13735,13860,12588,12722,12486,14448,14916,16843
00641,14051,14620,14924,15542,16022,16181,16292,16795,15792
00646,27701,28530,28306,27924,26861,27967,29160,29320,30573
00647,12560,14533,13925,13668,13764,13312,13071,13674,14223
00650,15840,16166,16133,15090,14611,15807,16095,19631,19764
00652,13875,10423,12809,14903,17500,19497,20564,21650,21987
00653,12703,13292,12595,13596,13593,13175,12236,12915,12072
00656,14997,14669,15054,15440,15037,14828,14966,16902,17355
00659,17847,18669,19199,19130,18687,18480,17770,17201,17715
00660,19548,20428,21107,21323,20598,20589,19674,19394,19030
00662,13631,14735,15600,16050,16016,16291,16771,17180,16834
00664,16821,17048,19342,15976,15922,15749,15401,15253,14595
00667,14827,13843,14081,13527,13222,12736,13843,13766,14013
00669,12686,12063,11790,11967,12009,12552,12996,14816,16922
00670,15431,14438,15817,14989,14031,13209,14456,13427,14245
00674,16964,17560,18048,18796,18135,18549,18032,19211,18299
00676,13483,14362,14697,15277,14374,14149,13416,14146,14992
00677,16773,16590,15875,16737,16792,17881,18333,21673,19943
00678,13230,13975,14877,14824,15347,15208,15730,16200,17144
00680,13843,14877,15115,15173,14567,14575,14500,13911,14217
00682,14447,15312,15067,15868,15363,15804,15315,15029,14706
00683,15276,15412,15587,15030,14913,15198,15043,15523,16332
00685,13100,13705,14623,14686,14343,13840,14128,14617,15185
00687,13871,14596,14797,16086,16536,17649,18739,20589,20941
00688,14679,14306,14148,14135,14213,14697,15918,17231,17874
00690,17199,17208,19474,19688,20274,20668,18491,17622,18288
00692,17267,18145,18500,18003,17987,18593,18076,19094,20585
00693,16146,16230,16406,16709,17156,17624,18971,19119,19576
00694,11292,9500,10750,11250,11198,10550,14375,-666666666,-666666666
00698,14625,14810,15099,15414,14766,14734,14487,15019,14794
00703,13342,13687,14673,14968,14680,15276,16532,17129,18846
00704,12483,13327,12612,12341,13756,14528,13960,14293,17275
00705,15536,15930,15892,16744,17238,17893,18207,19516,20214
00707,15190,16043,18446,17866,19541,18815,17489,19596,20760
00714,15551,16114,16350,15901,15349,16538,15820,17095,17615
00715,16044,15029,14114,13534,12027,12229,12440,13070,12188
00716,19380,18845,18878,18609,18331,18595,18514,18818,17969
00717,14096,14178,12407,11692,11664,11597,11269,12251,12121
00718,15996,16655,17123,18247,18614,18906,18998,19318,19372
00719,14640,16062,16672,17592,17686,19247,18401,19757,18922
00720,13930,14274,14903,14578,14144,14845,14533,13408,15295
00723,14506,14777,14506,14343,13284,13975,14554,15826,16063
00725,19938,20944,20926,20704,19961,20072,20374,20920,21350
00727,28717,28864,29433,29304,29995,30890,30797,31401,31688
00728,18689,18849,18637,17689,16949,18099,18097,19047,19340
00729,22828,23574,22438,21243,20574,20805,20508,20920,21469
00730,15791,16595,16259,15459,15097,15046,15367,15431,15723
00731,13770,14974,15733,15894,15141,16171,16389,17083,15473
00735,19468,20543,19615,20450,20925,20204,18947,19184,18395
00736,20100,20874,21206,21023,20760,20571,20166,21000,21894
00738,21027,21779,22140,20917,19708,19809,19284,19404,19859
00739,23734,24295,24638,23629,23266,21818,20619,20098,20065
00740,9483,11429,11026,13077,13750,14500,12934,13136,12944
00741,17726,17192,18397,19237,21690,20363,22766,22073,22121
00745,21752,22931,23275,22694,22577,23344,22909,22782,22960
00751,12465,13323,13565,14236,15091,16177,16188,17567,18087
00754,17809,18029,17904,17192,16571,16927,18594,18895,19403
00757,17601,18024,18033,16344,15674,15295,16816,17640,19827
00765,16723,16747,17500,18297,17934,17604,16149,15271,14880
00766,15785,15859,16517,17210,17611,18670,19595,19746,19682
00767,17185,17965,17306,16664,15666,16342,15573,15999,16295
00769,16458,16799,17710,18053,18390,18578,19215,19928,19700
00771,18181,19198,18553,19869,18827,19982,20332,21499,21175
00772,15924,16151,16432,16118,16734,15725,15032,15658,16107
00773,19333,20084,18593,18256,18170,19658,19377,20829,21850
00775,17328,16375,16188,18167,18547,20221,23092,23281,22667
00777,18684,19053,18574,19398,19229,19249,18684,19139,19830
00778,27902,27859,27475,27872,29317,31070,32708,33763,35183
00780,26284,23491,21706,22197,22090,20985,21834,24287,21663
00782,13157,12503,12527,13472,12757,12752,13073,12492,13683
00783,14752,15813,16201,16860,14863,14465,14476,14748,14995
00784,18887,17680,17540,17048,16141,15383,15653,16680,17415
00786,21625,23214,22656,21167,17039,-666666666,-666666666,-666666666,37552
00791,19595,20336,20364,20357,19175,19269,18595,19793,20269
00794,14947,14786,14986,14998,14238,14785,15667,15970,17073
00795,16225,17006,17278,18890,18863,20459,20430,20700,20471
00901,13844,15608,13620,17256,16870,16612,16929,20943,21469
00906,-666666666,32500,-666666666,33056,34625,-666666666,101346,102917,106518
00907,30563,32025,32570,30994,29758,31836,32601,33167,36495
